Issue ID,Integration,Taxonomy,Root Cause,Fix,Impact,Trigger,,,
43173 ,spider,Initialization,Incorrect task scheduling,Remove the heavy task from the event loop.,Slow response,Invoke device service,,,
43055 ,gree,Discovery,Generate incorrect device information,Generate unique device id,Device unavailable,Loading device integration,,,
43029 ,notion, Others,API-update-caused breakage,Fix API usage.,Device unavailable, ,,,
42950 ,dsmr,Device,Device failure,Use new device instead,Device unavailable,Frequent requests,,,
42947 ,nest,Initialization,Forget to keep authentication,Add watchdog or set timer function to maintain the authentication,Device unavailable,Loading device integration,,,
42927 ,mqtt, Error handling,Input verification,Check before use.,Device unavailable,Loading device integration,,,
42921 ,nest,Device,Incompatible device,Improve the existing device-integration and adapt to the incompatible modules of the device,Unexpected device behavior,Invoke device service,,,
42912 ,plex, Others,API-update-caused breakage,Fix API usage.,Device unavailable, ,,,
42911 ,google_translate, Error handling,Insufficient error handling,Add retry & timeout setting.,Device unavailable,Network delay,,,
42873 ,rpi_gpio_pwm, Error handling,Input verification,Check before use., ,Network interruption and recovery,,,
42847 ,netatmo, Others,API-update-caused breakage,Fix API usage.,Device unavailable, ,,,
42814 ,simplisafe,Device,Incompatible device,"The system has not supported the device yet, waiting for the development of the corresponding device-integration.",Device unavailable, ,,,
42781 ,RFXtrx,Release,Forget to release resources,Correctly release the relevant resources,Unexpected system behavior,Reload device integration,,,
42764 ,synology_dsm,Initialization,Incorrect authentication establishment,Provide correct authentication information.,Device unavailable,Loading device integration,,,
42754 ,launch_library, Others,API-update-caused breakage,Fix API usage.,Device unavailable, ,,, 
42745 ,isy994,Device,Incompatible device,"The system has not supported the device yet, waiting for the development of the corresponding device-integration.",Device unavailable, ,,,
42687 ,RFXtrx, Error handling,Insufficient error handling,Adjust retry & timeout setting.,Device unavailable,Network delay,,,
42663 ,evohome,Initialization,Incorrect task scheduling,Modify synchronous (asynchronous) tasks to asynchronous (synchronous) tasks.,Device unavailable,Invoke device service,,,
42653 ,lutron_caseta,Initialization,Incorrect device initialization status,Correct corresponding status.,Device unavailable,Loading device integration,,,
42623 ,fibaro,Device,Incompatible device,Improve the existing device-integration and adapt to the incompatible modules of the device,Device unavailable, ,,,
42568 ,opentherm_gw, Error handling,Input verification ,Check before use., ,Loading device integration,,,
42554 ,zha,Initialization,Incorrect device initialization status,"After the system restarts, the original data needs to be loaded from the cache.",Incorrect device state,Reload device integration,,,
42543 ,geo_rss_events, Others,General code error,"Fix corresponding errors, including illegal argument,
null reference, syntax error, undefined object",Device unavailable,Loading device integration,,,
42528 ,homekit_controller, Others,Dependency conflict,Choose the appropriate third-party library version.,Device unavailable,Loading device integration,,,
42526 ,somfy, Error handling,Input verification,Check before use., ,Invoke device service,,,
42503 ,homematicip_cloud, Others,API-update-caused breakage,Fix API usage.,Device unavailable, ,,,
42493 ,synology_dsm, Others,API-update-caused breakage,Fix API usage.,Device unavailable, ,,,
42465 ,time_date, Error handling,Insufficient error handling,,Incorrect device state,Invoke device service,,,
42451 ,pi4ioe5v9xxxx,Initialization,Incorrect device initialization status,Correct corresponding status.,Incorrect device state,Reload device integration,,,
42444 ,homekit,Initialization,Incorrect device initialization status,Correct corresponding status.,Incorrect device state,Reload device integration,,,
42390 ,onvif, Error handling,Insufficient error handling,Adjust retry & timeout setting.,Slow response,Loading device integration,,,
42356 ,aftership, Error handling,Insufficient error handling,Adjust retry & timeout setting.,Device unavailable,Frequent requests,,,
42345 ,zha,Initialization,Incorrect task scheduling,Remove the heavy task from the event loop.,Slow response,Invoke device service,,,
42285 ,mqtt,Release,Forget to release resources,Correctly release the relevant resources,Unexpected system behavior,Reload device integration,,,
42281 ,simplisafe, Error handling,Insufficient error handling,,Device unavailable,Loading device integration,,,
42258 ,enigma2, Others,General code error,"Fix corresponding errors, including illegal argument,
null reference, syntax error, undefined object",Incorrect device state,Invoke device service,,,
42255 ,google_translate, Execution,Incorrect execution status update, ,Device unavailable,Loading device integration,,,
42253 ,synology_dsm, Error handling,Insufficient error handling,, ,Loading device integration,,,
42230 ,broadlink, Error handling,Insufficient error handling,,Unexpected device behavior,Invoke device service,,,
42222 ,tplink, Error handling,Insufficient error handling,Add retry & timeout setting.,Device unavailable,Network interruption and recovery,,,
